Report generated on: 03-23-2023 11:38:06
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"INTL.4702-33-BOL-THP.A","        Bolivia","5736.088","5862.99","5991.118","6120.62","6251.926","6385.63","6521.983","6661.434","6804.072","6949.139","7096.194","7244.891","7394.419","7544.489","7693.722","7841.471","7989.367","8137.619","8286.928","8439.052","8592.656","8746.084","8900.583","9057.378","9216.279","9377.388","9542.663","9711.152","9880.593","10051.32","10223.27","10396.25","10569.7","10743.35","10916.99","11090.08","11263.01","11435.53","11606.91","11777.32","11936.16","12079.47","12224.11"
"INTL.4702-33-BIH-THP.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","4275.73","3942.981","3762.33","3750.527","3907.751","4047.748","4115.059","4153.014","4179.35","4194.932","4198.41","4183.757","4142.86","4094.297","4058.086","4007.876","3943.392","3877.75","3811.088","3743.142","3674.374","3617.559","3571.068","3524.324","3480.986","3440.027","3400.129","3360.711","3318.407","3270.943","3233.526"
"INTL.4702-33-BWA-THP.A","        Botswana","938.578","982.747","1023.009","1060.717","1099.17","1138.704","1179.263","1220.361","1261.272","1301.671","1341.474","1380.584","1420.695","1462.262","1503.544","1543.634","1582.169","1619.354","1655.699","1691.558","1726.985","1761.93","1795.13","1826.863","1859.085","1892.807","1928.704","1966.977","2007.32","2048.997","2091.664","2134.037","2175.425","2217.278","2260.376","2305.171","2352.416","2401.84","2451.409","2499.702","2546.402","2588.423","2630.296"
"INTL.4702-33-BRA-THP.A","        Brazil","122644.2","125502.4","128415.8","131349.5","134266.7","137138.6","139976.4","142797.9","145590.8","148341.8","151037.7","153670.9","156250.9","158793.6","161315","163831.4","166355","168873.2","171362.7","173799.2","176162.4","178453.7","180686.4","182862.6","184984","187050.1","189052","190991","192882.2","194741.7","196582.9","198405.8","200201.3","201966.8","203699.1","205400.7","207093.4","208773.1","210402.7","211943.9","213359","214625.8","215771.6"
"INTL.4702-33-VGB-THP.A","        British Virgin Islands","11.471","11.821","12.25","12.755","13.317","13.951","14.646","15.39","16.155","16.867","17.489","18.007","18.443","18.783","19.068","19.307","19.508","19.66","19.82","20.026","20.313","20.675","21.128","21.674","22.329","23.106","24.022","25.05","26.096","27.035","27.796","28.326","28.654","28.85","28.985","29.148","29.355","29.567","29.795","30.033","30.237","30.423","30.606"
"INTL.4702-33-BRN-THP.A","        Brunei","193.88","200.027","206.064","212.073","218.176","224.44","230.917","237.565","244.405","251.456","258.714","266.208","273.888","281.684","289.452","297.112","304.62","311.962","319.135","326.214","333.166","340.037","346.777","353.295","359.434","365.112","370.262","374.967","379.418","383.902","388.634","393.687","398.997","404.414","409.778","414.914","419.791","424.481","428.815","433.149","437.483","441.2228","444.9626"
"INTL.4702-33-BGR-THP.A","        Bulgaria","8865.313","8894.732","8920.426","8942.34","8963.312","8957.88","8960.243","8972.583","8982.743","8849.556","8706.033","8623.142","8526.339","8469.176","8439.547","8400.729","8357.354","8304.851","8250.182","8205.687","8164.996","7974.06","7829.247","7767.782","7709.788","7651.571","7593.935","7538.503","7486.2","7438.773","7389.057","7343.052","7300.554","7260.255","7218.503","7171.939","7121.331","7069.469","7018.787","6969.691","6929.648","6869.672","6812.833"
"INTL.4702-33-BFA-THP.A","        Burkina Faso","6932.967","7123.73","7321.817","7531.184","7751.476","7979.185","8207.827","8434.996","8663.72","8895.234","9131.361","9365.064","9598.555","9840.075","10091.26","10353.26","10621.21","10897.35","11201.06","11533.55","11882.89","12249.76","12632.27","13030.59","13445.98","13876.13","14316.24","14757.07","15197.92","15650.02","16116.84","16602.65","17113.73","17636.41","18169.84","18718.02","19275.5","19835.86","20392.72","20951.64","21522.63","22100.68","22673.76"
"INTL.4702-33-MMR-THP.A","        Burma","33465.78","34110.1","34742.59","35424.26","36159.84","36881.02","37572.34","38233.17","38868.27","39489.42","40099.55","40680.53","41237.81","41788.3","42337.11","42880.19","43423.37","43972.05","44516.18","45041.64","45538.33","46014.82","46480.23","46924.29","47338.45","47724.47","48088.27","48445.65","48729.48","49015.84","49390.99","49794.52","50218.18","50648.34","51072.44","51483.95","51892.35","52288.34","52666.02","53040.21","53423.2","53798.09","54179.3"
"INTL.4702-33-BDI-THP.A","        Burundi","4312.834","4490.743","4602.271","4726.506","4842.268","4948.024","5041.706","5157.769","5271.84","5373.697","5483.793","5594.828","5743.085","5555.22","5586.408","5932.783","5930.507","5923.862","6035.34","6180.18","6307.659","6465.729","6648.938","6860.846","7120.496","7388.874","7658.19","7944.609","8278.109","8709.366","9126.605","9455.733","9795.479","10149.58","10494.91","10727.15","10903.33","11155.59","11493.47","11874.84","12220.23","12551.21","12889.58"
