"Date","Price","Open","High","Low","Vol.","Change %"
"08/08/2021","7,628.90","7,538.40","7,632.80","7,532.80","2.93B","1.20%"
"08/01/2021","7,538.40","7,415.90","7,538.40","7,414.90","2.75B","1.97%"
"07/25/2021","7,392.60","7,394.40","7,447.90","7,368.30","2.84B","-0.02%"
"07/18/2021","7,394.40","7,348.10","7,398.70","7,205.00","2.80B","0.63%"
"07/11/2021","7,348.10","7,273.30","7,382.20","7,273.30","2.89B","1.03%"
"07/04/2021","7,273.30","7,308.60","7,381.90","7,226.00","3.00B","-0.48%"
"06/27/2021","7,308.60","7,308.00","7,370.10","7,241.50","2.78B","0.01%"
"06/20/2021","7,308.00","7,368.90","7,368.90","7,216.60","3.13B","-0.83%"
"06/13/2021","7,368.90","7,312.30","7,406.20","7,312.30","3.27B","0.77%"
"06/06/2021","7,312.30","7,295.40","7,334.90","7,265.60","2.73B","0.23%"
"05/30/2021","7,295.40","7,179.50","7,300.50","7,117.50","2.73B","1.61%"
"05/23/2021","7,179.50","7,030.30","7,186.80","7,015.50","3.46B","2.12%"
"05/16/2021","7,030.30","7,014.20","7,083.60","6,917.30","2.93B","0.23%"
"05/09/2021","7,014.20","7,080.80","7,172.80","6,966.50","2.93B","-0.94%"
"05/02/2021","7,080.80","7,025.80","7,122.00","7,022.00","2.62B","0.78%"
"04/25/2021","7,025.80","7,060.70","7,096.90","7,005.90","2.89B","-0.49%"
"04/18/2021","7,060.70","7,063.50","7,094.80","6,905.40","2.87B","-0.04%"
"04/11/2021","7,063.50","6,996.70","7,071.50","6,957.40","2.80B","0.98%"
"04/04/2021","6,995.20","6,828.70","7,012.40","6,828.70","2.10B","2.44%"
"03/28/2021","6,828.70","6,824.20","6,862.60","6,738.40","2.21B","0.07%"
"03/21/2021","6,824.20","6,708.20","6,835.00","6,688.20","2.62B","1.73%"
"03/14/2021","6,708.20","6,766.80","6,858.90","6,673.70","3.64B","-0.87%"
"03/07/2021","6,766.80","6,710.80","6,835.60","6,648.60","3.10B","0.83%"
"02/28/2021","6,710.80","6,673.30","6,860.70","6,660.50","3.50B","0.56%"
"02/21/2021","6,673.30","6,793.80","6,857.30","6,658.90","3.98B","-1.77%"
"02/14/2021","6,793.80","6,806.70","6,938.00","6,769.90","3.35B","-0.19%"
"02/07/2021","6,806.70","6,840.50","6,901.00","6,802.40","2.55B","-0.49%"
"01/31/2021","6,840.50","6,607.40","6,852.90","6,517.20","3.06B","3.53%"
"01/24/2021","6,607.40","6,800.40","6,832.60","6,585.30","2.48B","-2.84%"
"01/17/2021","6,800.40","6,715.40","6,829.30","6,651.60","2.74B","1.27%"
"01/10/2021","6,715.40","6,757.90","6,761.00","6,657.10","2.71B","-0.63%"
"01/03/2021","6,757.90","6,587.10","6,757.90","6,587.10","2.55B","2.59%"
