"Date","Price","Open","High","Low","Vol.","Change %"
"01/30/2022","1,423.00","1,418.00","1,440.00","1,418.00","","3.04%"
"01/23/2022","1,381.00","1,391.00","1,391.00","1,296.00","","-2.40%"
"01/16/2022","1,415.00","1,731.00","1,731.00","1,415.00","","-19.78%"
"01/09/2022","1,764.00","2,277.00","2,277.00","1,764.00","","-22.94%"
"01/02/2022","2,289.00","2,285.00","2,296.00","2,285.00","","3.25%"
"12/19/2021","2,217.00","2,371.00","2,371.00","2,217.00","","-6.81%"
"12/12/2021","2,379.00","3,216.00","3,216.00","2,379.00","","-27.29%"
"12/05/2021","3,272.00","3,235.00","3,423.00","3,235.00","","3.19%"
"11/28/2021","3,171.00","2,881.00","3,171.00","2,881.00","","14.60%"
"11/21/2021","2,767.00","2,645.00","2,767.00","2,645.00","","8.42%"
"11/14/2021","2,552.00","2,759.00","2,759.00","2,430.00","","-9.08%"
"11/07/2021","2,807.00","2,718.00","2,861.00","2,718.00","","3.39%"
"10/31/2021","2,715.00","3,428.00","3,428.00","2,715.00","","-22.85%"
"10/24/2021","3,519.00","4,257.00","4,257.00","3,519.00","","-20.20%"
"10/17/2021","4,410.00","4,732.00","4,751.00","4,410.00","","-9.15%"
"10/10/2021","4,854.00","5,488.00","5,488.00","4,854.00","","-12.16%"
"10/03/2021","5,526.00","5,267.00","5,650.00","5,267.00","","6.23%"
"09/26/2021","5,202.00","4,717.00","5,202.00","4,717.00","","12.02%"
"09/19/2021","4,644.00","4,304.00","4,651.00","4,304.00","","8.63%"
"09/12/2021","4,275.00","4,163.00","4,275.00","4,163.00","","10.64%"
"09/05/2021","3,864.00","3,822.00","3,864.00","3,618.00","","-2.03%"
"08/29/2021","3,944.00","4,132.00","4,132.00","3,944.00","","-6.87%"
"08/22/2021","4,235.00","4,147.00","4,235.00","4,147.00","","3.49%"
"08/15/2021","4,092.00","3,606.00","4,092.00","3,606.00","","14.75%"
"08/08/2021","3,566.00","3,371.00","3,566.00","3,371.00","","5.78%"
"08/01/2021","3,371.00","3,282.00","3,376.00","3,281.00","","2.40%"
"07/25/2021","3,292.00","3,210.00","3,292.00","3,154.00","","2.91%"
"07/18/2021","3,199.00","3,059.00","3,199.00","3,053.00","","5.26%"
"07/11/2021","3,039.00","3,300.00","3,300.00","3,039.00","","-7.91%"
"07/04/2021","3,300.00","3,224.00","3,300.00","3,179.00","","0.46%"
"06/27/2021","3,285.00","3,324.00","3,418.00","3,285.00","","0.92%"
"06/20/2021","3,255.00","3,190.00","3,255.00","3,119.00","","1.15%"
"06/13/2021","3,218.00","2,944.00","3,267.00","2,944.00","","12.64%"
"06/06/2021","2,857.00","2,428.00","2,857.00","2,420.00","","17.19%"
"05/30/2021","2,438.00","2,568.00","2,568.00","2,438.00","","-6.09%"
"05/23/2021","2,596.00","2,881.00","2,881.00","2,596.00","","-9.52%"
"05/16/2021","2,869.00","2,856.00","2,869.00","2,795.00","","-2.38%"
"05/09/2021","2,939.00","3,240.00","3,254.00","2,939.00","","-7.67%"
"05/02/2021","3,183.00","3,157.00","3,266.00","3,157.00","","4.26%"
"04/25/2021","3,053.00","2,808.00","3,053.00","2,808.00","","9.51%"
"04/18/2021","2,788.00","2,432.00","2,788.00","2,432.00","","16.90%"
"04/11/2021","2,385.00","2,145.00","2,385.00","2,140.00","","14.39%"
"04/04/2021","2,085.00","2,092.00","2,127.00","2,085.00","","0.63%"
"03/28/2021","2,072.00","2,162.00","2,162.00","2,046.00","","-4.87%"
"03/21/2021","2,178.00","2,319.00","2,319.00","2,172.00","","-4.52%"
"03/14/2021","2,281.00","1,983.00","2,281.00","1,983.00","","16.38%"
"03/07/2021","1,960.00","1,853.00","1,980.00","1,853.00","","7.16%"
"02/28/2021","1,829.00","1,651.00","1,829.00","1,651.00","","9.19%"
"02/21/2021","1,675.00","1,709.00","1,727.00","1,675.00","","-1.35%"
"02/14/2021","1,698.00","1,364.00","1,770.00","1,364.00","","26.81%"
"02/07/2021","1,339.00","1,317.00","1,339.00","1,303.00","","0.45%"
"01/31/2021","1,333.00","1,444.00","1,444.00","1,327.00","","-8.20%"
"01/24/2021","1,452.00","1,765.00","1,765.00","1,452.00","","-19.78%"
"01/17/2021","1,810.00","1,740.00","1,837.00","1,740.00","","3.19%"
"01/10/2021","1,754.00","1,761.00","1,856.00","1,754.00","","9.22%"
"01/03/2021","1,606.00","1,374.00","1,606.00","1,374.00","","17.57%"
