"Date","Price","Open","High","Low","Vol.","Change %"
"09/26/2021","2.882","2.440","2.959","2.402","1.63M","18.11%"
"09/19/2021","2.440","2.335","2.469","2.143","654.04K","1.60%"
"09/12/2021","2.402","2.354","2.594","2.315","1.33M","2.04%"
"09/05/2021","2.354","2.315","2.373","2.210","853.78K","3.38%"
"08/29/2021","2.277","2.085","2.383","2.037","618.56K","10.75%"
"08/22/2021","2.056","2.027","2.114","1.979","397.08K","-1.38%"
"08/15/2021","2.085","2.306","2.373","2.075","558.10K","-9.58%"
"08/08/2021","2.306","1.989","2.498","1.979","875.13K","15.38%"
"08/01/2021","1.998","2.037","2.037","1.950","108.23K","-1.89%"
"07/25/2021","2.037","1.998","2.046","1.950","203.59K","2.42%"
"07/18/2021","1.989","2.085","2.114","1.979","376.64K","-3.72%"
"07/11/2021","2.066","2.075","2.114","1.989","271.53K","1.90%"
"07/04/2021","2.027","1.931","2.075","1.931","382.10K","4.46%"
"06/27/2021","1.941","1.941","1.941","1.849","285.54K","0.00%"
"06/20/2021","1.941","1.960","2.018","1.931","215.92K","-0.98%"
"06/13/2021","1.960","2.075","2.114","1.960","245.84K","-5.12%"
"06/06/2021","2.066","2.008","2.200","1.989","583.44K","3.37%"
"05/30/2021","1.998","1.979","2.066","1.950","234.49K","4.52%"
"05/23/2021","1.912","1.931","2.018","1.912","190.08K","-1.00%"
"05/16/2021","1.931","1.998","2.037","1.922","98.01K","0.00%"
"05/09/2021","1.931","2.037","2.056","1.931","117.27K","-3.83%"
"05/02/2021","2.008","2.008","2.066","1.950","120.59K","0.00%"
"04/25/2021","2.008","2.056","2.075","1.970","97.23K","-2.79%"
"04/18/2021","2.066","2.210","2.210","2.066","116.25K","-5.70%"
"04/11/2021","2.191","2.171","2.229","2.171","87.42K","1.33%"
"04/04/2021","2.162","2.133","2.210","2.133","40.06K","1.81%"
"03/28/2021","2.123","2.210","2.248","2.123","118.19K","-3.07%"
"03/21/2021","2.191","2.210","2.210","2.123","106.31K","-2.98%"
"03/14/2021","2.258","2.258","2.306","2.210","80.88K","0.43%"
"03/07/2021","2.248","2.306","2.354","2.210","148.95K","-1.68%"
"02/28/2021","2.287","2.306","2.335","2.239","239.87K","-7.75%"
"02/21/2021","2.479","2.354","2.498","2.306","313.04K","6.17%"
"02/14/2021","2.335","2.402","2.431","2.325","174.44K","-0.82%"
"02/07/2021","2.354","2.383","2.412","2.306","218.64K","-1.21%"
"01/31/2021","2.383","2.344","2.431","2.219","299.44K","1.64%"
"01/24/2021","2.344","2.315","2.450","2.258","255.42K","1.67%"
"01/17/2021","2.306","2.450","2.469","2.258","299.48K","-5.88%"
"01/10/2021","2.450","2.402","2.479","2.373","197.23K","2.41%"
"01/03/2021","2.392","2.402","2.440","2.325","257.76K","2.89%"
