"Date","Price","Open","High","Low","Vol.","Change %"
"08/02/2022","76.62","76.81","77.39","75.94","19.93M","-0.23%"
"08/01/2022","76.80","77.08","77.28","75.77","25.67M","-2.07%"
"07/29/2022","78.42","76.53","78.66","76.38","25.83M","4.34%"
"07/28/2022","75.16","75.41","75.93","73.77","23.22M","0.56%"
"07/27/2022","74.74","73.56","75.11","72.81","22.38M","2.26%"
"07/26/2022","73.09","74.64","74.96","72.60","18.57M","-0.91%"
"07/25/2022","73.76","72.13","73.83","71.27","19.47M","3.67%"
"07/22/2022","71.15","71.98","72.69","70.74","20.42M","-0.82%"
"07/21/2022","71.74","71.02","71.81","69.66","21.56M","-1.75%"
"07/20/2022","73.02","71.52","73.35","71.22","20.92M","0.97%"
"07/19/2022","72.32","70.06","72.50","70.04","24.24M","3.08%"
"07/18/2022","70.16","70.42","71.32","69.83","25.65M","2.29%"
"07/15/2022","68.59","68.96","69.03","67.57","29.96M","1.63%"
"07/14/2022","67.49","66.38","67.57","65.48","36.55M","-1.89%"
"07/13/2022","68.79","67.90","70.23","67.90","29.39M","-0.16%"
"07/12/2022","68.90","68.43","69.31","67.66","32.27M","-1.95%"
"07/11/2022","70.27","70.06","70.86","69.33","22.74M","-0.96%"
"07/08/2022","70.95","71.84","72.14","69.96","21.97M","-0.04%"
"07/07/2022","70.98","70.37","71.54","70.20","33.62M","3.61%"
"07/06/2022","68.51","68.95","70.19","66.45","47.93M","-1.71%"
"07/05/2022","69.70","71.08","71.42","68.19","44.57M","-3.97%"
"07/01/2022","72.58","72.38","72.89","70.13","34.60M","1.50%"
"06/30/2022","71.51","71.48","73.36","70.87","37.60M","-2.11%"
"06/29/2022","73.05","76.73","76.99","72.84","35.40M","-3.48%"
"06/28/2022","75.68","75.44","76.90","74.54","38.75M","2.70%"
"06/27/2022","73.69","72.42","74.19","72.33","33.58M","2.93%"
"06/24/2022","71.59","71.87","73.11","70.83","47.40M","1.32%"
"06/23/2022","70.66","73.73","74.26","69.47","56.42M","-3.71%"
"06/22/2022","73.38","72.76","74.67","72.36","40.95M","-4.00%"
"06/21/2022","76.44","74.61","76.96","74.48","34.70M","4.01%"
"06/17/2022","73.49","77.20","77.77","72.60","64.23M","-5.47%"
"06/16/2022","77.74","80.19","80.63","77.07","57.85M","-5.63%"
"06/15/2022","82.38","84.05","84.47","80.99","43.14M","-2.21%"
"06/14/2022","84.24","85.77","86.87","83.14","34.68M","0.19%"
"06/13/2022","84.08","86.02","86.11","82.41","44.58M","-5.22%"
"06/10/2022","88.71","89.20","90.54","87.68","31.27M","-1.70%"
"06/09/2022","90.24","91.49","92.07","90.14","24.45M","-2.21%"
"06/08/2022","92.28","92.53","93.31","91.71","28.49M","0.22%"
"06/07/2022","92.08","89.35","92.20","89.28","25.58M","2.99%"
"06/06/2022","89.41","89.94","90.00","88.93","16.69M","-0.11%"
"06/03/2022","89.51","88.45","89.79","88.35","20.53M","1.32%"
"06/02/2022","88.34","88.00","88.96","87.46","26.28M","-0.32%"
"06/01/2022","88.62","88.30","89.26","87.33","27.87M","1.63%"
"05/31/2022","87.20","89.99","90.46","86.73","39.34M","-1.50%"
"05/27/2022","88.53","86.55","88.77","86.34","18.67M","1.83%"
"05/26/2022","86.94","86.51","87.58","86.45","21.34M","1.10%"
"05/25/2022","85.99","84.54","86.11","84.42","26.27M","2.07%"
"05/24/2022","84.25","83.00","84.60","82.36","26.48M","0.38%"
"05/23/2022","83.93","82.74","84.22","82.22","26.18M","2.64%"
"05/20/2022","81.77","82.42","83.39","80.13","31.92M","0.43%"
"05/19/2022","81.42","79.86","82.79","79.86","35.72M","-0.37%"
"05/18/2022","81.72","84.47","84.57","80.74","33.16M","-2.56%"
