"Date","Price","Open","High","Low","Vol.","Change %"
"12/12/2022","136.590","137.750","138.800","126.625","40.09K","-1.81%"
"12/09/2022","139.113","140.000","147.000","134.005","39.17K","0.16%"
"12/08/2022","138.893","154.750","159.005","134.000","45.43K","-6.94%"
"12/07/2022","149.245","137.000","150.335","137.000","41.15K","7.77%"
"12/06/2022","138.488","138.000","141.250","133.700","35.67K","2.81%"
"12/05/2022","134.699","142.950","148.000","132.350","36.87K","-0.64%"
"12/02/2022","135.562","140.000","143.000","125.385","42.81K","-2.65%"
"12/01/2022","139.258","147.500","164.965","136.225","46.87K","-4.88%"
"11/30/2022","146.397","137.000","149.750","132.500","41.02K","10.67%"
"11/29/2022","132.286","124.000","133.090","123.000","36.71K","7.30%"
"11/28/2022","123.282","126.000","126.200","115.980","51.17K","-0.87%"
"11/25/2022","124.370","124.500","126.500","120.345","33.44K","0.47%"
"11/24/2022","123.785","130.000","133.000","119.695","35.53K","-4.50%"
"11/23/2022","129.620","127.750","133.900","122.000","45.49K","8.34%"
"11/22/2022","119.639","117.375","124.950","114.370","47.37K","3.02%"
"11/21/2022","116.128","110.000","121.000","110.000","36.02K","0.54%"
"11/18/2022","115.509","115.000","116.860","107.155","40.87K","2.62%"
"11/17/2022","112.556","105.000","116.500","102.250","35.89K","-1.18%"
"11/16/2022","113.900","118.880","122.000","106.650","33.46K","-8.22%"
"11/15/2022","124.104","117.500","128.095","117.500","38.79K","9.15%"
"11/14/2022","113.704","99.750","117.775","99.500","39.28K","16.20%"
"11/11/2022","97.853","110.000","110.000","96.670","38.37K","-13.75%"
"11/10/2022","113.452","113.000","116.500","108.475","28.97K","0.27%"
"11/09/2022","113.144","115.000","119.615","110.245","32.07K","-4.23%"
"11/08/2022","118.147","113.000","120.800","109.685","31.72K","7.72%"
"11/07/2022","109.683","112.000","113.745","105.500","32.64K","-4.45%"
"11/04/2022","114.786","134.750","134.750","112.600","40.06K","-8.50%"
"11/03/2022","125.445","132.120","139.000","123.070","35.25K","-0.33%"
"11/02/2022","125.863","116.000","135.955","116.000","34.90K","8.32%"
"11/01/2022","116.193","120.000","123.500","114.685","31.56K","-5.80%"
"10/31/2022","123.352","137.500","137.750","120.500","32.36K","9.90%"
"10/28/2022","112.244","110.000","115.000","107.550","29.97K","4.53%"
"10/27/2022","107.384","98.000","110.000","96.135","32.42K","2.94%"
"10/26/2022","104.320","102.000","106.490","98.420","29.35K","4.54%"
"10/25/2022","99.794","95.000","102.000","92.400","32.96K","0.63%"
"10/24/2022","99.170","110.200","110.200","93.330","31.62K","-12.68%"
"10/21/2022","113.576","124.100","127.000","110.250","40.37K","-10.67%"
"10/20/2022","127.147","113.005","131.000","113.000","36.85K","13.01%"
"10/19/2022","112.510","110.000","120.995","107.500","37.88K","-0.63%"
"10/18/2022","113.222","123.000","123.745","107.295","40.76K","-11.53%"
"10/17/2022","127.978","134.650","138.900","123.000","35.43K","-9.87%"
"10/14/2022","141.997","150.000","151.105","139.100","32.44K","-7.68%"
"10/13/2022","153.809","157.505","174.975","151.000","37.23K","-3.98%"
"10/12/2022","160.190","153.500","162.000","153.500","31.18K","2.17%"
"10/11/2022","156.781","155.000","165.900","150.000","36.76K","1.73%"
"10/10/2022","154.118","148.330","187.995","144.000","38.22K","-1.34%"
"10/07/2022","156.207","166.000","166.000","152.950","34.91K","-11.10%"
"10/06/2022","175.712","176.000","183.995","166.000","41.61K","1.16%"
"10/05/2022","173.693","165.000","179.090","154.275","43.56K","7.25%"
"10/04/2022","161.950","159.000","174.000","158.500","38.62K","-4.69%"
"10/03/2022","169.912","190.500","195.000","167.985","32.57K","-10.00%"
"09/30/2022","188.800","205.995","205.995","185.040","33.04K","0.60%"
"09/29/2022","187.665","198.000","202.500","180.500","23.79K","-9.42%"
"09/28/2022","207.187","207.000","212.000","193.850","33.93K","11.33%"
"09/27/2022","186.099","176.000","212.415","176.000","48.67K","7.06%"
"09/26/2022","173.834","183.000","183.000","168.500","41.99K","-6.29%"
"09/23/2022","185.495","187.685","191.950","175.255","41.90K","-1.05%"
"09/22/2022","187.468","189.000","197.880","181.005","33.55K","-1.22%"
"09/21/2022","189.781","203.000","213.750","180.205","39.39K","-2.31%"
"09/20/2022","194.259","171.000","200.000","169.790","40.30K","6.58%"
"09/19/2022","182.262","184.500","188.000","171.330","23.60K","-2.95%"
"09/16/2022","187.793","208.000","210.000","183.155","38.85K","-12.36%"
"09/15/2022","214.283","222.000","244.500","208.530","36.60K","-1.65%"
"09/14/2022","217.882","201.000","228.550","196.995","31.07K","9.70%"
"09/13/2022","198.612","191.000","204.760","181.350","30.13K","4.21%"
"09/12/2022","190.588","201.000","201.000","187.900","25.94K","-7.97%"
